Date,Open,High,Low,Close,Adj Close,Volume
2009-11-12,50.200001,50.985001,49.035000,49.325001,41.694813,228050
2009-11-13,49.299999,49.904999,48.099998,48.974998,41.398941,1209690
2009-11-16,49.500000,49.500000,48.215000,48.555000,41.043907,136140
2009-11-17,49.000000,49.700001,48.200001,48.595001,41.077721,122360
2009-11-18,48.980000,50.290001,48.450001,49.009998,41.428528,508580
2009-11-19,49.500000,49.500000,48.115002,48.505001,41.001656,86970
2009-11-20,48.709999,51.299999,48.000000,50.049999,42.307648,560970
2009-11-23,51.299999,52.500000,49.650002,50.680000,42.840191,528810
2009-11-24,50.310001,50.900002,48.630001,48.924999,41.356678,414480
2009-11-25,48.799999,49.599998,47.299999,47.529999,40.177471,330130
2009-11-26,48.200001,48.785000,47.025002,47.555000,40.198608,1299670
2009-11-27,46.500000,47.500000,45.025002,47.154999,39.860474,245120
2009-11-30,47.599998,48.400002,47.200001,47.985001,40.562096,903580
2009-12-01,48.505001,48.994999,48.049999,48.634998,41.111538,80190
2009-12-02,49.000000,49.799999,48.525002,48.730000,41.191845,139470
2009-12-03,48.500000,49.400002,47.400002,48.240002,40.777641,788340
2009-12-04,47.900002,48.200001,47.505001,47.654999,40.283134,153160
2009-12-07,47.700001,47.700001,46.314999,46.615002,39.404011,119100
2009-12-08,47.000000,47.099998,46.200001,46.955002,39.691425,118900
2009-12-09,47.279999,47.279999,46.514999,46.799999,39.560406,97350
2009-12-10,46.560001,46.889999,45.535000,45.805000,38.719326,251570
2009-12-11,46.485001,46.490002,45.049999,45.810001,38.723549,299710
2009-12-14,45.509998,45.959999,45.500000,45.500000,38.461502,2909370
2009-12-15,45.799999,46.200001,45.305000,45.705002,38.634792,109810
2009-12-16,45.500000,45.884998,45.500000,45.529999,38.486858,66240
2009-12-17,45.799999,46.165001,45.500000,45.509998,38.469952,85230
2009-12-18,45.500000,46.200001,45.500000,45.680000,38.613663,669210
2009-12-21,45.509998,47.290001,45.500000,46.055000,38.930653,146140
2009-12-22,46.500000,46.799999,45.540001,45.709999,38.639019,98920
2009-12-23,null,null,null,null,null,null
2009-12-24,null,null,null,null,null,null
2009-12-29,null,null,null,null,null,null
2009-12-30,null,null,null,null,null,null
2009-12-31,null,null,null,null,null,null
2010-01-04,50.650002,51.500000,49.630001,50.070000,42.324562,175840
2010-01-05,50.299999,50.880001,49.924999,50.564999,42.742977,209880
2010-01-06,50.799999,51.290001,50.110001,50.250000,42.476707,191950
2010-01-07,50.410000,50.470001,49.009998,49.360001,41.724392,119420
2010-01-08,49.895000,49.895000,48.099998,48.330002,40.853725,257680
2010-01-11,48.415001,49.389999,48.000000,48.945000,41.373581,703080
2010-01-12,49.400002,49.400002,48.064999,48.505001,41.001656,448870
2010-01-13,48.500000,52.599998,47.720001,48.320000,40.845268,3116460
2010-01-14,48.599998,49.599998,48.299999,48.555000,41.043907,529150
2010-01-15,48.935001,49.900002,48.599998,48.814999,41.263699,306580
2010-01-18,48.500000,49.189999,48.299999,48.799999,41.251019,147490
2010-01-19,48.939999,49.395000,48.000000,48.125000,40.680435,301040
2010-01-20,48.400002,48.680000,47.900002,48.020000,40.591682,437220
2010-01-21,47.509998,47.994999,46.505001,46.884998,39.632252,310590
2010-01-22,46.099998,46.500000,44.700001,45.230000,38.233261,598470
2010-01-25,45.000000,46.000000,44.115002,45.055000,38.085339,205830
2010-01-27,45.000000,46.400002,43.150002,44.494999,37.611969,2545140
2010-01-28,44.500000,46.994999,42.810001,43.939999,37.142815,580020
2010-01-29,42.900002,44.700001,42.299999,44.270000,37.421776,239430
2010-02-01,44.270000,44.895000,43.169998,43.830002,37.049843,193080
2010-02-02,44.209999,44.790001,43.299999,43.599998,36.855415,165690
2010-02-03,44.000000,44.994999,43.500000,44.435001,37.734344,214130
2010-02-04,44.430000,44.695000,43.700001,44.060001,37.415890,138540
2010-02-05,43.500000,44.799999,42.264999,43.415001,36.868168,280550
2010-02-06,null,null,null,null,null,null
2010-02-08,44.400002,44.400002,43.000000,43.320000,36.787487,89990
2010-02-09,43.200001,43.900002,43.200001,43.380001,36.838432,83950
2010-02-10,43.299999,43.994999,43.000000,43.185001,36.672840,110710
2010-02-11,42.799999,43.599998,42.799999,43.294998,36.766251,65010
2010-02-15,43.200001,44.174999,42.900002,42.919998,36.447796,73800
2010-02-16,43.099998,44.200001,42.299999,42.599998,36.176048,252400
2010-02-17,43.240002,44.490002,42.299999,42.525002,36.112358,246880
2010-02-18,42.200001,43.000000,42.099998,42.395000,36.001968,88430
2010-02-19,42.299999,42.599998,41.134998,41.294998,35.067844,121660
2010-02-22,41.599998,42.000000,41.110001,41.535000,35.271648,138220
2010-02-23,41.500000,42.500000,41.009998,41.869999,35.556133,9497120
2010-02-24,41.705002,41.880001,40.400002,40.525002,34.413963,141330
2010-02-25,40.910000,42.279999,40.505001,40.735001,34.592297,76560
2010-02-26,40.900002,42.000000,40.599998,41.014999,34.830078,290230
2010-03-02,44.299999,44.299999,41.200001,42.075001,35.730221,107580
2010-03-03,42.000000,43.380001,41.799999,43.119999,36.617634,239310
2010-03-04,42.599998,43.549999,42.599998,43.200001,36.685574,373480
2010-03-05,43.000000,43.799999,43.000000,43.240002,36.719540,98930
2010-03-08,43.880001,44.165001,43.505001,43.805000,37.199348,113510
2010-03-09,43.505001,43.744999,42.549999,42.610001,36.184540,62520
2010-03-10,42.349998,43.195000,42.174999,42.730000,36.286449,118040
2010-03-11,43.480000,44.000000,42.799999,42.919998,36.447796,141240
2010-03-12,42.950001,42.950001,42.455002,42.705002,36.265221,52780
2010-03-15,43.250000,43.439999,42.110001,42.695000,36.256721,117430
2010-03-16,43.000000,43.990002,42.630001,43.005001,36.519981,75060
2010-03-17,43.130001,43.400002,43.000000,43.130001,36.626133,181870
2010-03-18,43.200001,44.900002,43.049999,43.895000,37.275772,1253650
2010-03-19,43.900002,44.980000,43.900002,44.525002,37.810768,773440
2010-03-22,43.990002,44.689999,43.610001,44.299999,37.619701,84870
2010-03-23,44.000000,44.500000,42.580002,42.779999,36.328911,230560
2010-03-25,40.785000,43.794998,40.785000,43.430000,36.880894,476640
2010-03-26,42.720001,43.900002,42.720001,43.404999,36.859669,69170
2010-03-29,43.000000,43.700001,43.000000,43.375000,36.834187,97180
2010-03-30,43.799999,44.799999,43.799999,44.209999,37.543270,196780
2010-03-31,43.799999,44.189999,43.325001,44.055000,37.411648,165210
2010-04-01,43.599998,44.270000,43.599998,43.965000,37.335217,48120
2010-04-05,43.799999,44.380001,43.505001,43.970001,37.339474,3540170
2010-04-06,44.000000,44.400002,43.509998,43.750000,37.152637,351730
